wind_farm_name,LAT,LON,area_sqkm,country,commissioning_year,installed_capacity_MW,turbine_producer,turbine_power_MW,foundation_type,oss_responsibility,offshore_cable,onshore_connection,model_type,water_depth_m,water_depth_min_m,water_depth_max_m,water_depth_mean_m,distance_from_shore_km,distance_from_shore_min_km,distance_from_shore_max_km,distance_from_shore_mean_km,distance_from_port_km,distance_from_construction_port_km,total_project_budget,total_project_budget_eur,total_project_budget_eur_indexed,project_lifetime_years,mean_wind_speed_mps,mean_wave_height_m,country_Belgium,country_Denmark,country_Finland,country_France,country_Germany,country_Ireland,country_Italy,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Spain,country_Sweden,country_UK,turbine_producer_AREVA,turbine_producer_Adwen,turbine_producer_BARD,turbine_producer_Bonus,turbine_producer_Enron Wind,turbine_producer_GE,turbine_producer_MHI Vestas,turbine_producer_MingYang,turbine_producer_Multiple,turbine_producer_Senvion,turbine_producer_Siemens,turbine_producer_Siemens Gamesa,turbine_producer_Unknown,turbine_producer_Vestas,turbine_producer_Wind World,foundation_type_Floating,foundation_type_Floating SATH,foundation_type_Floating TLP,foundation_type_Floating TetraSpar,foundation_type_Floating concrete spar buoy,foundation_type_Floating damping pool,foundation_type_Floating semi-submersible,foundation_type_Floating spar buoy,foundation_type_Gravity base,foundation_type_Gravity-based,foundation_type_Gravity-based / Jacket,foundation_type_Jacket,foundation_type_Jacket / Tripod,foundation_type_Monopile,foundation_type_Monopile / Jacket,foundation_type_Suction Bucket Jacket,foundation_type_Suction Bucket Jacket / Monopile,foundation_type_Tripile,foundation_type_Tripod,foundation_type_Tripod jacket,foundation_type_Tripod jacket with suction bucket,foundation_type_Unknown,oss_responsibility_Developer,oss_responsibility_OFTO,oss_responsibility_TSO,oss_responsibility_Unknown,offshore_cable_Developer,offshore_cable_OFTO,offshore_cable_TSO,offshore_cable_Unknown,onshore_connection_Developer,onshore_connection_Developer/TSO,onshore_connection_OFTO,onshore_connection_TSO,onshore_connection_Unknown,model_type_Developer-led,model_type_OFTO,model_type_TSO-led,model_type_Unknown,data_quality_flag,unit_capex_eur_per_mw,unit_capex_eur_per_mw_indexed,capacity_factor,productivity_gross_mwh_per_mw,productivity_net_mwh_per_mw,annual_energy_mwh,opex_eur_per_mw,annual_opex_eur,annual_opex_eur_per_mwh,crf,annual_capex_eur,annual_capex_eur_per_mwh,annual_capex_eur_indexed,annual_capex_eur_per_mwh_indexed,lcoe_eur_per_mwh,lcoe_eur_per_mwh_indexed
Hornsea 1,53.883,1.922,407.0,UK,2020.0,1218.0,Siemens Gamesa,7.0,Monopile,OFTO,OFTO,OFTO,OFTO,20-40,20.0,40.0,30.0,120,120.0,120.0,120.0,854.6663017167682,143.50092053483485,GBP 4.2 billion,4936528800.0,6023668524.249842,25.0,9.609211386004787,1.52,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2020,4052979.3103448274,4945540.660303647,0.55,4818.0,4095.2999999999997,4988075.399999999,90000.0,109620000.0,21.976411984470005,0.0858105172206656,423606089.6027117,84.92375428060123,516894111.6317224,103.62596195553148,106.90016626507123,125.6023739400015
Hornsea 2,53.885,1.791,462.0,UK,2022.0,1386.0,Siemens Gamesa,8.0,Monopile,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,89,89.0,89.0,89.0,868.8683759067194,137.1863889067789,USD 3.64 billion,3213843360.0,3213843360.0,25.0,9.620879953556836,1.2983538812785387,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,2318790.303030303,2318790.303030303,0.55,4818.0,4095.2999999999997,5676085.8,90000.0,124740000.0,21.97641198447,0.0858105172206656,275781560.9878018,48.58657368917887,275781560.9878018,48.58657368917887,70.56298567364887,70.56298567364887
Hornsea 3,53.067,0.463,696.0,UK,2027.0,2900.0,Siemens Gamesa,14.0,Monopile,OFTO,OFTO,OFTO,OFTO,22-73,22.0,73.0,47.5,120,120.0,120.0,120.0,1051.3536684003923,89.94904760160672,USD 9.6 billion,8159798400.0,8159798400.0,25.0,9.016599524129838,0.6270867579908677,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,2813723.5862068967,2813723.5862068967,0.5,4380.0,3723.0,10796700.0,90000.0,261000000.0,24.174053182917003,0.0858105172206656,700196521.1203597,64.85282735654039,700196521.1203597,64.85282735654039,89.0268805394574,89.0268805394574
Dogger Bank A,54.783,1.861,515.0,UK,2025.0,1200.0,GE,13.0,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,131,131.0,131.0,131.0,798.4342465802619,181.43386178835934,GBP 3 billion,3618033000.0,3618033000.0,25.0,9.60934891500305,1.4710776255707763,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,3015027.5,3015027.5,0.55,4818.0,4095.2999999999997,4914360.0,90000.0,108000000.0,21.97641198447,0.0858105172206656,310465283.0514364,63.17512006679129,310465283.0514364,63.17512006679129,85.15153205126128,85.15153205126128
Dogger Bank B,54.984,1.654,599.0,UK,2026.0,1200.0,GE,13.0,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,131,131.0,131.0,131.0,803.2069353737407,185.1303014726967,GBP 3 billion,3437999999.9999995,3437999999.9999995,25.0,9.526035997851304,1.5196187214611874,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,2864999.9999999995,2864999.9999999995,0.55,4818.0,4095.2999999999997,4914360.0,90000.0,108000000.0,21.97641198447,0.0858105172206656,295016558.2046483,60.031531716164125,295016558.2046483,60.031531716164125,82.00794370063413,82.00794370063413
Dogger Bank C,54.851,2.522,560.0,UK,2027.0,1200.0,GE,14.0,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,196,196.0,196.0,196.0,726.9041244133148,220.31962099803303,GBP 3 billion,3468690000.0000005,3468690000.0000005,25.0,9.59987104978345,1.5051849315068493,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,2890575.0000000005,2890575.0000000005,0.55,4818.0,4095.2999999999997,4914360.0,90000.0,108000000.0,21.97641198447,0.0858105172206656,297650082.9781506,60.567415284625184,297650082.9781506,60.567415284625184,82.54382726909519,82.54382726909519
East Anglia ONE,52.234,2.488,300.0,UK,2020.0,714.0,Siemens Gamesa,7.0,Jacket,OFTO,OFTO,OFTO,OFTO,30-55,30.0,55.0,42.5,43,43.0,43.0,43.0,890.580066048815,65.69088259660528,GBP 2.5 billion,2938410000.0,3585516978.720144,25.0,9.220471100024604,1.44,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2020,4115420.168067227,5021732.463193479,0.5,4380.0,3723.0,2658222.0,90000.0,64260000.0,24.174053182917003,0.0858105172206656,252146481.906376,94.8553137798032,307675066.4474538,115.74468439710972,119.02936696272019,139.91873758002671
East Anglia TWO,52.244,2.186,218.0,UK,2030.0,960.0,Siemens Gamesa,14.0,Unknown,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,37.5,37.5,37.5,37.5,920.2384053858814,50.31906525469868,GBP 3 billion,3468690000.0000005,3468690000.0000005,25.0,9.207641878650533,1.082148401826484,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,3613218.7500000005,3613218.7500000005,0.5,4380.0,3723.0,3574080.0,90000.0,86400000.0,24.174053182917003,0.0858105172206656,297650082.9781506,83.28019601635962,297650082.9781506,83.28019601635962,107.45424919927663,107.45424919927663
East Anglia THREE,52.771,3.037,305.0,UK,2026.0,1372.0,Siemens Gamesa,14.0,Monopile,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,69,69.0,69.0,69.0,795.3916825973781,90.34926035198619,GBP 4 billion,4584000000.0,4584000000.0,25.0,9.690889221549073,1.2511278538812785,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent,3341107.8717201166,3341107.8717201166,0.55,4818.0,4095.2999999999997,5618751.6,90000.0,123480000.0,21.976411984470005,0.0858105172206656,393355410.9395311,70.00761716170743,393355410.9395311,70.00761716170743,91.98402914617743,91.98402914617743
Walney 1 and 2,54.048,-3.618,73.0,UK,2012.0,367.0,Siemens,3.6,Monopile,OFTO,OFTO,OFTO,OFTO,19-23,19.0,23.0,21.0,14,14.0,14.0,14.0,1415.0351863279482,86.30598079141605,GBP 1 billion,1197175000.0,1656611690.5382,25.0,9.157309546462528,1.28,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2012,3262057.220708447,4513928.312093188,0.5,4380.0,3723.0,1366341.0,90000.0,33030000.0,24.174053182917003,0.0858105172206656,102730205.95365034,75.18635974010174,142154705.99888414,104.0404306091116,99.36041292301874,128.2144837920286
