wind_farm_name,LAT,LON,area_sqkm,country,commissioning_year,installed_capacity_MW,turbine_producer,turbine_power_MW,foundation_type,oss_responsibility,offshore_cable,onshore_connection,model_type,water_depth_m,water_depth_min_m,water_depth_max_m,water_depth_mean_m,distance_from_shore_km,distance_from_shore_min_km,distance_from_shore_max_km,distance_from_shore_mean_km,distance_from_port_km,distance_from_construction_port_km,total_project_budget,total_project_budget_eur,total_project_budget_eur_indexed,project_lifetime_years,mean_wind_speed_mps,mean_wave_height_m,country_Belgium,country_Denmark,country_Finland,country_France,country_Germany,country_Ireland,country_Italy,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Sweden,country_UK,turbine_producer_Siemens,turbine_producer_Unknown,foundation_type_Floating,foundation_type_Floating TLP,foundation_type_Floating TetraSpar,foundation_type_Floating concrete spar buoy,foundation_type_Floating damping pool,foundation_type_Floating semi-submersible,foundation_type_Floating spar buoy,foundation_type_Gravity-based,foundation_type_Gravity-based / Jacket,foundation_type_Jacket,foundation_type_Jacket / Tripod,foundation_type_Monopile,foundation_type_Monopile / Jacket,foundation_type_Suction Bucket Jacket,foundation_type_Suction Bucket Jacket / Monopile,foundation_type_Tripile,foundation_type_Tripod,foundation_type_Tripod jacket,foundation_type_Tripod jacket with suction bucket,foundation_type_Unknown,oss_responsibility_Developer,oss_responsibility_OFTO,oss_responsibility_TSO,oss_responsibility_Unknown,offshore_cable_Developer,offshore_cable_OFTO,offshore_cable_TSO,offshore_cable_Unknown,onshore_connection_Developer,onshore_connection_Developer/TSO,onshore_connection_OFTO,onshore_connection_TSO,onshore_connection_Unknown,model_type_Developer-led,model_type_OFTO,model_type_TSO-led,model_type_Unknown,data_quality_flag
Hornsea 1,53.883,1.922,,UK,2020.0,1218.0,Siemens,,Monopile,OFTO,OFTO,OFTO,OFTO,20-40,20.0,40.0,30.0,120,120.0,120.0,120.0,,143.99883302652157,GBP 4.2 billion,4936528800.0,6023668524.249842,25.0,9.609211386004787,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2020
Hornsea 2,53.885,1.791,,UK,2022.0,1386.0,Siemens,,Monopile,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,89,89.0,89.0,89.0,,142.79562201272103,USD 3.64 billion,3213843360.0,3213843360.0,25.0,9.620879953556836,1.2983538812785387,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Hornsea 3,53.067,0.463,,UK,2027.0,2900.0,Siemens,,Monopile,OFTO,OFTO,OFTO,OFTO,22-73,22.0,73.0,47.5,120,120.0,120.0,120.0,,111.43852725606192,USD 9.6 billion,8162572800.0,8162572800.0,25.0,9.016599524129838,0.6270867579908677,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Dogger Bank A,54.783,1.861,,UK,2025.0,1200.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,131,131.0,131.0,131.0,,242.7489045289391,GBP 3 billion,3618033000.0,3618033000.0,25.0,9.60934891500305,1.4710776255707763,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Dogger Bank B,54.984,1.654,,UK,2026.0,1200.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,131,131.0,131.0,131.0,,255.08642871191705,GBP 3 billion,3437999999.9999995,3437999999.9999995,25.0,9.526035997851304,1.5196187214611874,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Dogger Bank C,54.851,2.522,,UK,2027.0,1200.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,20-35,20.0,35.0,27.5,196,196.0,196.0,196.0,,264.87551616750056,GBP 3 billion,3471819000.0,3471819000.0,25.0,9.59987104978345,1.5051849315068493,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
East Anglia ONE,52.234,2.488,,UK,2020.0,714.0,Siemens,,Jacket,OFTO,OFTO,OFTO,OFTO,30-55,30.0,55.0,42.5,43,43.0,43.0,43.0,,93.43272938323057,GBP 2.5 billion,2938410000.0,3585516978.720144,25.0,9.220471100024604,1.54,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2020
East Anglia TWO,52.244,2.186,,UK,2030.0,960.0,Siemens,,Unknown,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,37.5,37.5,37.5,37.5,,64.21443538644574,GBP 3 billion,3471819000.0,3471819000.0,25.0,9.207641878650533,1.082148401826484,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
East Anglia THREE,52.771,3.037,,UK,2026.0,1372.0,Siemens,,Monopile,OFTO,OFTO,OFTO,OFTO,30-40,30.0,40.0,35.0,69,69.0,69.0,69.0,,146.3134111761461,GBP 4 billion,4584000000.0,4584000000.0,25.0,9.690889221549073,1.2511278538812785,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Walney 1 and 2,54.048,-3.618,,UK,2012.0,367.0,Siemens,,Monopile,OFTO,OFTO,OFTO,OFTO,19-23,19.0,23.0,21.0,14,14.0,14.0,14.0,,90.97457342026995,GBP 1 billion,1197175000.0,1656611690.5382,25.0,9.157309546462528,0.9,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2012
Walney Extension,54.088,-3.439,,UK,2018.0,659.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,19-23,19.0,23.0,21.0,19,19.0,19.0,19.0,,89.16554760668537,GBP 2 billion,2254206000.0,2826134317.420376,25.0,8.96144478519167,0.92,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2018
London Array,51.644,1.553,,UK,2013.0,630.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,25,25.0,25.0,25.0,20,20.0,20.0,20.0,,107.91946101144164,EUR 2.2 billion,2200000000.0,2976086218.601486,25.0,8.951106666615303,1.56,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2013
Thanet,51.433,1.417,,UK,2010.0,300.0,Unknown,,Monopile,Developer,Developer,Developer,Developer-led,20-25,20.0,25.0,22.5,11,11.0,11.0,11.0,,134.11528778629244,GBP 780-900 million,945839160.0,1394268730.3088615,25.0,8.863561674048627,1.46,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,indexed_wb_2010
Beatrice,58.105,-3.093,,UK,2019.0,588.0,Unknown,,Jacket,OFTO,OFTO,OFTO,OFTO,35-56,35.0,56.0,45.5,13,13.0,13.0,13.0,,101.73039483851402,GBP 2.5 billion,2794762500.0,3443978742.4629135,25.0,9.060848680297287,1.16,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,indexed_wb_2019
Moray East,58.1,-2.8,,UK,2022.0,950.0,Unknown,,Tripod jacket,OFTO,OFTO,OFTO,OFTO,50,50.0,50.0,50.0,22,22.0,22.0,22.0,,131.64150751187867,GBP 2.6 billion,3094205400.0000005,3094205400.0000005,25.0,9.48282556261283,1.2125136986301368,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Moray West,58.1,-3.1,,UK,2025.0,882.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,35-54,35.0,54.0,44.5,22.5,22.5,22.5,22.5,,100.79020041650877,GBP 2.5 billion,3015027500.0,3015027500.0,25.0,9.060848680297287,0.999579908675799,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Seagreen,56.37,-2.16,,UK,2023.0,1075.0,Unknown,,Tripod jacket with suction bucket,OFTO,OFTO,OFTO,OFTO,42-58,42.0,58.0,50.0,27,27.0,27.0,27.0,,89.69109091208561,GBP 3 billion,3382455000.0,3382455000.0,25.0,9.130451407851021,1.174527397260274,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
Triton Knoll,53.51,0.82,,UK,2022.0,857.0,Unknown,,Monopile,OFTO,OFTO,OFTO,OFTO,18-24,18.0,24.0,21.0,33,33.0,33.0,33.0,,124.77356893909875,GBP 2 billion,2380158000.0,2380158000.0,25.0,9.359047022844951,1.0672442922374428,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,recent
