wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Hornsea 1,53.883,1.922,,UK,2020.0,1218.0,Siemens Gamesa SWT-7.0-154,Monopile,30.0,120.0,GBP 4.2 billion,,,,,,,,,,,,25.0,Unknown,9.609211386004787,9.0,4936528800.0,5559333216.174411,indexed_6y
Hornsea 2,53.885,1.791,,UK,2022.0,1386.0,Siemens Gamesa SG 8.0-167 DD,Monopile,35.0,89.0,USD 3.64 billion,,,,,,,,,,,,25.0,Unknown,9.620879953556836,9.0,3213843360.0,3213843360.0,recent
Hornsea 3,53.067,0.463,,UK,2027.0,2900.0,Siemens Gamesa SG 14-236 DD,Monopile,47.5,120.0,USD 9.6 billion,,,,,,,,,,,,25.0,Unknown,9.016599524129838,9.0,8196719999.999999,8196719999.999999,recent
Dogger Bank A,54.783,1.861,,UK,2025.0,1200.0,GE Haliade-X 13 MW,Monopile,27.5,131.0,GBP 3 billion,,,,,,,GBP 16.31/MWh,,0.55,,,25.0,Unknown,9.60934891500305,9.0,3618033000.0,3618033000.0,recent
Dogger Bank B,54.984,1.654,,UK,2026.0,1200.0,GE Haliade-X 13 MW,Monopile,27.5,131.0,GBP 3 billion,,,,,,,,,0.55,,,25.0,Unknown,9.526035997851304,9.0,3437999999.9999995,3437999999.9999995,recent
Dogger Bank C,54.851,2.522,,UK,2027.0,1200.0,GE Haliade-X 14 MW,Monopile,27.5,196.0,GBP 3 billion,,,,,,,,,0.55,,,25.0,Unknown,9.59987104978345,9.0,3456102000.0,3456102000.0,recent
East Anglia ONE,52.234,2.488,,UK,2020.0,714.0,Siemens Gamesa SWT-7.0-154,Jacket,42.5,43.0,GBP 2.5 billion,,,,,,,,,,,,25.0,Unknown,9.220471100024604,9.0,2938410000.0,3309126914.3895307,indexed_6y
East Anglia TWO,52.244,2.186,,UK,2030.0,960.0,Siemens Gamesa SG 14-236 DD,,35.0,37.5,GBP 3 billion,,,,,,,,,,,,25.0,Unknown,9.207641878650533,9.0,3456102000.0,3456102000.0,recent
East Anglia THREE,52.771,3.037,,UK,2026.0,1372.0,Siemens Gamesa SG 14-236 DD,Monopile,35.0,69.0,GBP 4 billion,,,,,,,,,,,,25.0,Unknown,9.690889221549073,9.0,4584000000.0,4584000000.0,recent
Walney 1 and 2,54.048,-3.618,,UK,2012.0,367.0,Siemens SWT-3.6-107 / SWT-3.6-120,Monopile,21.0,14.0,GBP 1 billion,,,,,,,,,,,,25.0,Unknown,9.157309546462528,9.0,1197175000.0,1579646988.1697943,indexed_14y
Walney Extension,54.088,-3.439,,UK,2018.0,659.0,MHI Vestas V164-8.0 / Siemens Gamesa SWT-7.0-154,Monopile,21.0,19.0,GBP 2 billion,,,,,,,,,,,,25.0,Unknown,8.96144478519167,9.0,2254206000.0,2641161606.6115932,indexed_8y
