wind_farm_name;LAT;LON;area;country;commissioning_year;installed_capacity_MW;turbine_model;foundation_type;water_depth_m;distance_from_shore_km;total_project_budget;turbine_costs;foundation_costs;array_cable_costs;export_cable_costs;offshore_substation_costs;offshore_installation_costs;OPEX_per_MWh;inflation_rate;capacity_factor;WACC;discount_rate;project_lifetime_years
Hornsea 1;53.883;1.922;;UK;2020;1218;Siemens Gamesa SWT-7.0-154;Monopile;20-40;120;GBP 4.2 billion;null;null;null;null;null;null;null;null;null;null;null;25
Hornsea 2;53.885;1.791;;UK;2022;1386;Siemens Gamesa SG 8.0-167 DD;Monopile;30-40;89;USD 3.64 billion;null;null;null;null;null;null;null;null;null;null;null;25
Hornsea 3;53.067;0.463;;UK;2027;2900;Siemens Gamesa SG 14-236 DD;Monopile;22-73;120;USD 9.6 billion;null;null;null;null;null;null;null;null;null;null;null;25
Dogger Bank A;54.783;1.861;;UK;2025;1200;GE Haliade-X 13 MW;Monopile;20-35;131;GBP 3 billion;null;null;null;null;null;null;GBP 16.31/MWh;null;0.55;null;null;25
Dogger Bank B;54.984;1.654;;UK;2026;1200;GE Haliade-X 13 MW;Monopile;20-35;131;GBP 3 billion;null;null;null;null;null;null;null;null;0.55;null;null;25
Dogger Bank C;54.851;2.522;;UK;2027;1200;GE Haliade-X 14 MW;Monopile;20-35;196;GBP 3 billion;null;null;null;null;null;null;null;null;0.55;null;null;25
East Anglia ONE;52.234;2.488;;UK;2020;714;Siemens Gamesa SWT-7.0-154;Jacket;30-55;43;GBP 2.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
East Anglia TWO;52.244;2.186;;UK;2030;960;Siemens Gamesa SG 14-236 DD;null;30-40;37.5;GBP 3 billion;null;null;null;null;null;null;null;null;null;null;null;25
East Anglia THREE;52.771;3.037;;UK;2026;1372;Siemens Gamesa SG 14-236 DD;Monopile;30-40;69;GBP 4 billion;null;null;null;null;null;null;null;null;null;null;null;25
East Anglia ONE North;52.221;2.150;;UK;null;800;Siemens Gamesa SG 14-236 DD;null;30-40;null;null;null;null;null;null;null;null;null;null;null;null;null;25
Walney 1 and 2;54.048;-3.618;;UK;2012;367;Siemens SWT-3.6-107 / SWT-3.6-120;Monopile;19-23;14;GBP 1 billion;null;null;null;null;null;null;null;null;null;null;null;25
Walney Extension;54.088;-3.439;;UK;2018;659;MHI Vestas V164-8.0 / Siemens Gamesa SWT-7.0-154;Monopile;19-23;19;GBP 2 billion;null;null;null;null;null;null;null;null;null;null;null;25
London Array;51.644;1.553;;UK;2013;630;Siemens SWT-3.6-120;Monopile;25;20;EUR 2.2 billion;null;null;null;null;null;null;null;null;null;null;null;25
Thanet;51.433;1.417;;UK;2010;300;Vestas V90-3.0 MW;Monopile;20-25;11;GBP 780-900 million;null;null;null;null;null;null;null;null;null;null;null;25
Beatrice;58.105;-3.093;;UK;2019;588;Siemens Gamesa SWT-7.0-154;Jacket;35-56;13;GBP 2.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
Moray East;58.100;-2.800;;UK;2022;950;Vestas V164-9.5 MW;Tripod jacket;50;22;GBP 2.6 billion;null;null;null;null;null;null;null;null;null;null;null;25
Moray West;58.100;-3.100;;UK;2025;882;Siemens Gamesa SG 14-222 DD;Monopile;35-54;22.5;GBP 2.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
Seagreen;56.370;-2.160;;UK;2023;1075;Vestas V164-10.0 MW;Tripod jacket with suction bucket;42-58;27;GBP 3 billion;null;null;null;null;null;null;null;null;null;null;null;25
Triton Knoll;53.510;0.820;;UK;2022;857;MHI Vestas V164-9.5 MW;Monopile;18-24;33;GBP 2 billion;null;null;null;null;null;null;null;null;null;null;null;25
Race Bank;53.275;0.841;;UK;2018;573;Siemens SWT-6.0-154;Monopile;6-26;27;null;null;null;null;null;null;null;null;null;null;null;null;25
Dudgeon;53.250;1.383;;UK;2017;402;Siemens SWT-6.0-154;Monopile;18-25;32;GBP 1.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
Sheringham Shoal;53.130;1.150;;UK;2012;317;Siemens SWT-3.6-107;Monopile;16-22;17-23;GBP 1 billion;null;null;null;null;null;null;null;null;null;null;null;25
Greater Gabbard;51.933;1.883;;UK;2012;504;Siemens SWT-3.6-107;Monopile;24-34;23;GBP 1.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
Robin Rigg;54.750;-3.710;;UK;2010;174;Vestas V90-3.0 MW;Monopile;5-18;9-11;EUR 500 million;null;null;null;null;null;null;null;null;null;null;null;25
Barrow;53.983;-3.283;;UK;2006;90;Vestas V90-3.0 MW;Monopile;20;7;GBP 100 million;null;null;null;null;null;null;null;null;null;null;null;25
Burbo Bank;53.483;-3.183;;UK;2007;90;Siemens SWT-3.6-107;Monopile;6-13;6-7;null;null;null;null;null;null;null;null;null;null;null;null;25
Burbo Bank Extension;53.483;-3.183;;UK;2017;258;Vestas V164-8.0 MW;Monopile;null;null;null;null;null;null;null;null;null;null;null;null;null;null;25
West of Duddon Sands;54.010;-3.520;;UK;2014;389;Siemens SWT-3.6-120;Monopile;17-24;null;GBP 1.6 billion;null;null;null;null;null;null;null;null;null;null;null;25
Ormonde;54.100;-3.400;;UK;2012;150;REpower 5M;Jacket;21;10;EUR 552 million;null;null;null;null;null;null;null;null;null;null;null;25
Lincs;53.183;0.483;;UK;2013;270;Siemens SWT-3.6-120;Monopile;8-18;8;GBP 1 billion;null;null;null;null;null;null;null;null;null;null;null;25
Lynn and Inner Dowsing;53.127;0.436;;UK;2009;194;Siemens SWT-3.6-107;Monopile;6.3-16;5.2;EUR 349 million;null;null;null;null;null;null;null;null;null;null;null;25
Kentish Flats;51.460;1.090;;UK;2005;90;Vestas V90-3.0 MW;Monopile;5-8;8.9-10;GBP 105 million;null;null;null;null;null;null;null;null;null;null;null;25
Kentish Flats Extension;51.460;1.090;;UK;2015;49.5;Vestas V112-3.3 MW;Monopile;5-8;10;null;null;null;null;null;null;null;null;null;null;null;null;25
Scroby Sands;52.650;1.780;;UK;2004;60;Vestas V80-2.0 MW;Monopile;13-20;2.5;GBP 75.5 million;null;null;null;null;null;null;null;null;null;null;null;25
North Hoyle;53.433;-3.400;;UK;2003;60;Vestas V80-2.0 MW;Monopile;12;7.5;null;null;null;null;null;null;null;null;null;null;null;null;25
Rampion;50.666;-0.266;;UK;2018;400;Vestas V112-3.45 MW;Monopile;19-40;13-25;GBP 1.3 billion;null;null;null;null;null;null;null;null;null;null;null;25
Humber Gateway;53.64278987612652;0.29680230015394105;35;UK;2015;219;Vestas V112-3.0 MW;Monopile;15;8;GBP 700 million;null;null;null;null;null;null;null;null;null;null;null;25
Westermost Rough;53.78104801813828;0.2148424662161718;35;UK;2015;210;Siemens SWT-6.0-154;Monopile;null;8;GBP 800 million;null;null;null;null;null;null;null;null;null;null;null;25
Gunfleet Sands;51.739444;1.174444;17.05;UK;2010;172;Siemens SWT-3.6-107 / Siemens 6 MW;Monopile;2-15;7;null;null;null;null;null;null;null;null;null;null;null;null;25
Teesside;54.60234189553078;-1.4295520401172217;;UK;2014;62;Siemens SWT-2.3-93;Monopile;null;1.5;null;null;null;null;null;null;null;null;null;null;null;null;25
Blyth Offshore (Original);55.135833;-1.490278;;UK;2000;4;Vestas V66-2.0 MW;Monopile;10;2;null;null;null;null;null;null;null;null;null;null;null;null;19
Blyth Offshore Demonstrator;55.1670;-1.3644;;UK;2018;41.5;MHI Vestas V164-8.3 MW;Gravity base;40;5;null;null;null;null;null;null;null;null;null;null;null;null;25
Aberdeen Bay (EOWDC);57.22257515746838;-1.9728780880585897;19;UK;2018;93.2;MHI Vestas V164-8.8 MW;Suction Bucket Jacket;19-32;3;null;null;null;null;null;null;null;null;null;null;null;null;25
Neart na Gaoithe;56.275;-2.245;105;UK;2025;450;Siemens Gamesa SG 8.0-167 DD;Jacket;40-60;15.5;GBP 1.8 billion;null;null;null;null;null;null;null;null;null;null;null;25
Inch Cape;56.5;-2.17;150;UK;2027;1080;Vestas V236-15.0 MW;Monopile / Jacket;34-64;15;GBP 3.5 billion;null;null;null;null;null;null;null;null;0.60;null;null;25
Galloper;51.86653342228734;1.9269606847383243;147;UK;2018;353;Siemens SWT-6.0-154;Monopile;27-36;27;GBP 1.5 billion;null;null;null;null;null;null;null;null;null;null;null;25
Sofia;54.9794;2.2301;593;UK;2027;1400;Siemens Gamesa SG 14-222 DD;Monopile;21-36;195;EUR 3 billion;null;null;null;null;null;null;null;null;null;null;null;25
Hywind Scotland;57.49809316673302;-1.6930264003753728;15;UK;2017;30;Siemens SWT-6.0-154;Floating spar buoy;95-120;29;GBP 264 million;null;null;null;null;null;null;null;null;0.571;null;null;25
Kincardine;57.0046;-1.8596;110;UK;2021;50;MHI Vestas V164-9.525 MW / Vestas V80-2.0 MW;Floating semi-submersible;60-80;15;GBP 350 million;null;null;null;null;null;null;null;null;null;null;null;25
alpha ventus;54.0112;6.6078;4;Germany;2010;60;Senvion 5M / Adwen AD 5-116;Jacket / Tripod;30;45-60;EUR 250 million;null;null;null;null;null;null;null;null;0.42-0.55;null;null;15
EnBW Baltic 1;54.6139;12.6667;7;Germany;2011;48.3;Siemens SWT-2.3-93;Monopile;16-19;16;EUR 150 million;null;null;null;null;null;null;null;null;null;null;null;null
BARD Offshore 1;54.3583;5.975;59;Germany;2013;400;BARD 5.0;Tripile;40;100;EUR 2.9 billion;null;null;null;null;null;null;null;null;null;null;null;null
Meerwind Sued Ost;54.38;7.68;43;Germany;2014;288;Siemens SWT-3.6-120;Monopile;22-26;23;EUR 1.2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Nordsee Ost;54.43;7.68;36;Germany;2015;295;Senvion 6.2M126;Jacket;25;60;EUR 1.2 billion;null;null;null;null;null;null;null;null;null;null;null;null
DanTysk;55.14;7.2;70;Germany;2015;288;Siemens SWT-3.6-120;Monopile;21-32;70;EUR 1 billion;null;null;null;null;null;null;null;null;null;null;null;null
Butendiek;55.0136;7.7687;33;Germany;2015;288;Siemens SWT-3.6-120;Monopile;17-22;32;EUR 1.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Amrumbank West;54.5227;7.7048;32;Germany;2015;302;Siemens SWT-3.6-120;Monopile;20-25;35;EUR 1 billion;null;null;null;null;null;null;null;null;null;null;null;null
Borkum Riffgrund 1;53.966944;6.553889;36;Germany;2015;312;Siemens SWT-4.0-120;Monopile;23-29;37;EUR 1.25 billion;null;null;null;null;null;null;null;null;null;null;null;null
Trianel Windpark Borkum I;54.0417;6.4667;56;Germany;2015;200;AREVA M5000;Tripod;25-35;45;EUR 900 million;null;null;null;null;null;null;null;null;null;null;null;null
EnBW Baltic 2;54.9733;13.1778;27;Germany;2015;288;Siemens SWT-3.6-120;Monopile / Jacket;23-44;32;EUR 1.25 billion;null;null;null;null;null;null;null;null;null;null;null;null
Global Tech I;54.5;6.3583;41;Germany;2015;400;AREVA M5000;Tripod;38-41;115;EUR 1.6 billion;null;null;null;null;null;null;null;null;null;null;null;null
Gode Wind 1;54.05;7.03;42;Germany;2017;332;Siemens SWT-6.0-154;Monopile;26-35;33;EUR 2.2 billion (combined 1+2);null;null;null;null;null;null;null;null;null;null;null;null
Gode Wind 2;54.05;7.03;42;Germany;2017;252;Siemens SWT-6.0-154;Monopile;26-35;33;EUR 2.2 billion (combined 1+2);null;null;null;null;null;null;null;null;null;null;null;null
Nordergruende;53.835;8.168;6;Germany;2017;110.7;Senvion 6.2M126;Monopile;10;15;EUR 410 million;null;null;null;null;null;null;null;null;null;null;null;null
Sandbank;55.18;6.85;60;Germany;2017;288;Siemens SWT-4.0-130;Monopile;24-33;90;EUR 1.2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Nordsee One;53.979;6.814;41.3;Germany;2017;332;Senvion 6.2M126;Monopile;26-29;45;EUR 1.2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Wikinger;54.8340;14.0680;50;Germany;2018;350;Adwen AD 5-135;Jacket;null;35;EUR 1.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Arkona;54.782;14.121;39;Germany;2019;385;Siemens Gamesa SWT-6.0-154;Monopile;null;35;EUR 1.2 billion;null;null;null;null;null;null;null;null;null;null;null;null
Borkum Riffgrund 2;54.966667;6.495556;36;Germany;2019;450;MHI Vestas V164-8.0;Suction Bucket Jacket / Monopile;27-33;54;EUR 2.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Merkur;54.033333;6.55;47;Germany;2019;396;GE Haliade 150-6MW;Monopile;27-33;45;EUR 1.6 billion;null;null;null;null;null;null;null;null;null;null;null;null
Deutsche Bucht;54.305;5.799;22.6;Germany;2020;269;MHI Vestas V164-8.4 MW;Monopile;40;100;EUR 1.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Trianel Windpark Borkum II;54.0417;6.4667;56;Germany;2020;200;Senvion 6.2M152;Monopile;27-33;45;EUR 800 million;null;null;null;null;null;null;null;null;null;null;null;null
Kaskasi;54.485;7.45;17;Germany;2022;342;Siemens Gamesa SG 8.0-167 DD;Monopile;null;35;EUR 800 million;null;null;null;null;null;null;null;null;null;null;null;null
Arcadis Ost 1;54.815;13.65;29;Germany;2023;257;Vestas V174-9.5 MW;Monopile;41-46;19;null;null;null;null;null;null;null;null;null;null;null;null;null
Baltic Eagle;54.832;13.84;40;Germany;2024;476;Vestas V174-9.5 MW;Monopile;41-45;30;EUR 1.6 billion;null;null;null;null;null;null;null;null;null;null;null;null
Gode Wind 3;53.865;7.151;18;Germany;2025;253;Siemens Gamesa SG 11.0-200 DD;Monopile;null;32;EUR 946 million;null;null;null;null;null;null;null;null;null;null;null;null
Borkum Riffgrund 3;54.015;6.435;75;Germany;2026;913;Siemens Gamesa SG 11.0-200 DD;Monopile;28-34;110;EUR 2.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
EnBW He Dreiht;54.212;6.255;63;Germany;2026;960;Vestas V236-15.0 MW;Monopile;38;85-95;EUR 2.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Windanker;54.85;13.91;18;Germany;2026;315;Siemens Gamesa SG 14-236 DD;Monopile;41-46;38;EUR 1 billion;null;null;null;null;null;null;null;null;null;null;null;null
Nordseecluster A;54.12;6.85;40;Germany;2027;660;Vestas V236-15.0 MW;Monopile;null;50;null;null;null;null;null;null;null;null;null;null;null;null;null
